Player,L,Def,Def,SoT,PassDead,PassDead,PrgR,PrgR,G+A-PK,Fld,Fld,Fld,Gls,Gls,Gls,Thr,TO,TO,Recov,xG+xAG,Stp%,Mis,GCA,PassLive,PassLive,Crs,xAG,xAG,Ast,Ast,/90,Att,Att,Att,Att,Starts,Starts,G/Sh,SoTA,Tkl+Int,D,Int,Int,Live,GCA90,Att 3rd,Att 3rd,SCA90,Succ,Cmp,G-PK,G-PK,Save%,Save%,OG,OG,CS,Off,npxG,npxG,npxG,Att Pen,Age,Age,Age,Age,Age,Age,Age,Age,90s,90s,90s,90s,90s,90s,90s,90s,PSxG+/-,npxG/Sh,Pass,PrgDist,Saves,FK,FK,Rec,AvgDist,G+A,G+A,CrdY,CrdY,W,Blocks,G-xG,CS%,Tkl,Tkl,PSxG,Tkld%,Tkld,Att (GK),Err,#OPA,Sh/90,Lost,Lost,PKwon,PK,PK,Succ%,CrdR,CrdR,Dis,PrgP,SoT%,Def Pen,GA,GA,CK,Nation,Nation,Nation,Nation,Nation,Nation,TotDist,SCA,Won%,PKA,PKA,PrgC,PrgC,Won,PKm,xG,xG,xG,Mid 3rd,Mid 3rd,np:G-xG,Def 3rd,Def 3rd,PKatt,PKatt,PKatt,Clr,npxG+xAG,npxG+xAG,Fls,Sh,Sh,Sh,Sh,Tkl%,Carries,G/SoT,2CrdY,Cmp%,CPA,#OPA/90,TklW,TklW,MP,MP,Touches,Launch%,Launch%,Opp,Dist,1/3,Pos,Pos,Pos,Pos,Pos,Pos,PSxG/SoT,Stp,PKsv,Min,Min,GA90,PKcon,AvgLen,AvgLen,SoT/90
Abdoulaye Doucouré,,2.0,0.0,8.0,0.0,0.0,66.0,66.0,0.41,0.0,0.0,4.0,5.0,0.29,5.0,,3.0,0.0,100.0,0.27,,27.0,3.0,38.0,3.0,8.0,2.2,0.13,2.0,0.12,,,,37.0,33.0,17,,0.25,,44.0,,13.0,13.0,713.0,0.18,7.0,242.0,2.65,20.0,,5.0,0.29,,,,0.0,,8.0,2.4,0.14,2.4,45.0,29.0,,,29.0,29.0,29.0,29.0,29.0,17.0,,,17.0,17.0,17.0,17.0,17.0,,0.12,23.0,896.0,,,0.0,440.0,,7.0,0.41,6.0,6.0,,26.0,2.6,,31.0,12.0,,33.3,11.0,,0.0,,1.17,25.0,30.0,0.0,0.0,0.0,60.6,1.0,1.0,13.0,38.0,40.0,18.0,,,,ml MLI,ml MLI,ml MLI,ml MLI,ml MLI,ml MLI,1689.0,45.0,30.2,,,23.0,23.0,13.0,,2.4,0.14,2.4,15.0,327.0,2.6,9.0,156.0,0.0,,0.0,11.0,4.6,0.27,21.0,3.0,2.0,0.0,20.0,32.4,371.0,0.63,0.0,,7.0,,20.0,20.0,25,,713.0,,,,13.2,16.0,MF,MF,MF,MF,MF,MF,,,,1533.0,,,1.0,,,0.47
Dominic Calvert-Lewin,,0.0,0.0,9.0,0.0,0.0,56.0,56.0,0.15,2.0,1.0,14.0,2.0,0.15,2.0,,5.0,1.0,28.0,0.51,,40.0,4.0,16.0,2.0,6.0,0.8,0.06,1.0,0.08,,,,5.0,28.0,15,,0.03,,7.0,,3.0,3.0,375.0,0.31,3.0,200.0,1.85,15.0,,1.0,0.08,,,,0.0,,19.0,5.0,0.39,5.0,59.0,25.0,,,25.0,25.0,25.0,25.0,25.0,12.9,,,12.9,12.9,12.9,12.9,12.9,,0.17,4.0,405.0,,,0.0,286.0,,3.0,0.23,3.0,3.0,,5.0,-3.8,,4.0,1.0,,35.7,10.0,,0.0,,2.32,4.0,72.0,1.0,1.0,1.0,53.6,0.0,0.0,12.0,15.0,30.0,20.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,972.0,24.0,47.8,,,18.0,18.0,66.0,,5.8,0.45,5.8,0.0,143.0,-4.0,1.0,39.0,1.0,,1.0,18.0,5.9,0.45,22.0,1.0,1.0,0.0,30.0,20.0,186.0,0.11,0.0,,10.0,,2.0,2.0,17,,376.0,,,,11.8,11.0,FW,FW,FW,FW,FW,FW,,,,1165.0,,,0.0,,,0.7
Nathan Patterson,,1.0,0.0,1.0,1.0,0.0,51.0,51.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,,0.0,0.0,80.0,0.07,,22.0,0.0,16.0,0.0,39.0,0.4,0.03,0.0,0.0,,,,53.0,24.0,14,,0.0,,64.0,,15.0,15.0,836.0,0.0,4.0,238.0,1.41,11.0,,0.0,0.0,,,,0.0,,1.0,0.5,0.03,0.5,19.0,20.0,,,20.0,20.0,20.0,20.0,20.0,14.2,,,14.2,14.2,14.2,14.2,14.2,,0.06,20.0,851.0,,,0.0,431.0,,0.0,0.0,3.0,3.0,,24.0,-0.5,,49.0,29.0,,50.0,12.0,,0.0,,0.56,24.0,12.0,0.0,0.0,0.0,45.8,0.0,0.0,9.0,24.0,12.5,71.0,,,,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,1940.0,20.0,45.5,,,16.0,16.0,10.0,,0.5,0.03,0.5,13.0,295.0,-0.5,32.0,310.0,0.0,,0.0,45.0,0.9,0.07,14.0,4.0,0.0,0.0,8.0,54.7,349.0,0.0,0.0,,3.0,,24.0,24.0,19,,836.0,,,,18.2,12.0,"DF,MF","DF,MF","DF,MF","DF,MF","DF,MF","DF,MF",,,,1279.0,,,0.0,,,0.07
Anthony Gordon,,2.0,0.0,16.0,0.0,0.0,67.0,67.0,0.25,1.0,0.0,15.0,3.0,0.25,3.0,,1.0,0.0,56.0,0.32,,32.0,0.0,13.0,0.0,25.0,0.6,0.05,0.0,0.0,,,,23.0,45.0,12,,0.12,,38.0,,4.0,4.0,464.0,0.0,7.0,218.0,1.89,11.0,,3.0,0.25,,,,0.0,,3.0,3.3,0.27,3.3,47.0,21.0,,,21.0,21.0,21.0,21.0,21.0,12.2,,,12.2,12.2,12.2,12.2,12.2,,0.13,19.0,704.0,,,1.0,290.0,,3.0,0.25,6.0,6.0,,19.0,-0.3,,34.0,8.0,,64.4,29.0,,0.0,,2.14,15.0,29.0,0.0,0.0,0.0,24.4,0.0,0.0,23.0,19.0,61.5,13.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,1875.0,23.0,23.7,,,28.0,28.0,9.0,,3.3,0.27,3.3,10.0,165.0,-0.3,17.0,87.0,0.0,,0.0,11.0,3.9,0.32,20.0,0.0,6.0,0.0,26.0,34.8,252.0,0.19,0.0,,13.0,,22.0,22.0,16,,464.0,,,,16.6,23.0,FW,FW,FW,FW,FW,FW,,,,1095.0,,,0.0,,,1.32
Neal Maupay,,0.0,0.0,13.0,0.0,0.0,61.0,61.0,0.08,3.0,0.0,21.0,1.0,0.08,1.0,,1.0,0.0,26.0,0.43,,38.0,1.0,12.0,1.0,3.0,0.6,0.05,0.0,0.0,,,,4.0,19.0,11,,0.03,,16.0,,5.0,5.0,387.0,0.08,4.0,194.0,1.45,7.0,,1.0,0.08,,,,0.0,,1.0,4.8,0.39,4.8,49.0,25.0,,,25.0,25.0,25.0,25.0,25.0,12.4,,,12.4,12.4,12.4,12.4,12.4,,0.15,8.0,306.0,,,0.0,280.0,,1.0,0.08,4.0,4.0,,8.0,-3.8,,11.0,2.0,,63.2,12.0,,0.0,,2.58,2.0,48.0,0.0,0.0,0.0,36.8,0.0,0.0,16.0,11.0,40.6,1.0,,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,864.0,18.0,23.8,,,8.0,8.0,15.0,,4.8,0.39,4.8,4.0,172.0,-3.8,3.0,27.0,0.0,,0.0,0.0,5.4,0.43,14.0,0.0,2.0,0.0,32.0,50.0,219.0,0.08,0.0,,3.0,,5.0,5.0,27,,387.0,,,,14.3,7.0,FW,FW,FW,FW,FW,FW,,,,1118.0,,,0.0,,,1.05
Michael Keane,,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.27,1.0,0.0,4.0,1.0,0.09,1.0,,0.0,0.0,62.0,0.19,,6.0,2.0,8.0,2.0,4.0,0.7,0.07,2.0,0.18,,,,8.0,7.0,10,,0.07,,21.0,,14.0,14.0,565.0,0.18,0.0,55.0,0.91,4.0,,1.0,0.09,,,,0.0,,0.0,1.3,0.12,1.3,24.0,29.0,,,29.0,29.0,29.0,29.0,29.0,10.9,,,10.9,10.9,10.9,10.9,10.9,,0.1,5.0,719.0,,,0.0,275.0,,3.0,0.27,0.0,0.0,,12.0,-0.3,,7.0,5.0,,28.6,2.0,,1.0,,1.28,3.0,33.0,0.0,0.0,0.0,57.1,0.0,0.0,2.0,31.0,28.6,83.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,1282.0,10.0,67.0,,,2.0,2.0,67.0,,1.3,0.12,1.3,2.0,239.0,-0.3,5.0,275.0,0.0,,0.0,55.0,2.1,0.19,7.0,7.0,1.0,0.0,14.0,62.5,257.0,0.25,0.0,,0.0,,4.0,4.0,12,,565.0,,,,12.9,2.0,DF,DF,DF,DF,DF,DF,,,,985.0,,,2.0,,,0.37
Ben Godfrey,,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.11,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,35.0,0.16,,12.0,2.0,4.0,2.0,7.0,0.2,0.02,1.0,0.11,,,,29.0,8.0,10,,0.0,,28.0,,8.0,8.0,391.0,0.22,2.0,63.0,0.45,3.0,,0.0,0.0,,,,0.0,,1.0,1.2,0.14,1.2,8.0,24.0,,,24.0,24.0,24.0,24.0,24.0,8.9,,,8.9,8.9,8.9,8.9,8.9,,0.21,6.0,426.0,,,0.0,159.0,,1.0,0.11,2.0,2.0,,12.0,-1.2,,20.0,11.0,,37.5,3.0,,1.0,,0.67,18.0,17.0,0.0,0.0,0.0,37.5,0.0,0.0,3.0,19.0,0.0,55.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,830.0,4.0,46.9,,,9.0,9.0,15.0,,1.2,0.14,1.2,5.0,175.0,-1.2,13.0,159.0,0.0,,0.0,33.0,1.4,0.16,10.0,6.0,0.0,0.0,6.0,37.9,162.0,,0.0,,0.0,,11.0,11.0,13,,391.0,,,,13.1,8.0,DF,DF,DF,DF,DF,DF,,,,802.0,,,0.0,,,0.0
James Garner,,0.0,0.0,3.0,3.0,0.0,18.0,18.0,0.11,1.0,0.0,10.0,0.0,0.0,0.0,,1.0,0.0,68.0,0.14,,11.0,2.0,13.0,2.0,37.0,0.5,0.06,1.0,0.11,,,,19.0,14.0,7,,0.0,,28.0,,12.0,12.0,441.0,0.22,4.0,150.0,2.13,7.0,,0.0,0.0,,,,0.0,,1.0,0.8,0.09,0.8,9.0,21.0,,,21.0,21.0,21.0,21.0,21.0,8.9,,,8.9,8.9,8.9,8.9,8.9,,0.08,8.0,564.0,,,1.0,225.0,,1.0,0.11,3.0,3.0,,9.0,-0.8,,16.0,9.0,,42.9,6.0,,0.0,,1.01,10.0,10.0,0.0,0.0,0.0,50.0,0.0,0.0,3.0,33.0,33.3,22.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,1185.0,19.0,54.5,,,8.0,8.0,12.0,,0.8,0.09,0.8,8.0,201.0,-0.8,4.0,97.0,0.0,,0.0,13.0,1.3,0.14,16.0,1.0,1.0,0.0,9.0,47.4,216.0,0.0,0.0,,1.0,,13.0,13.0,16,,441.0,,,,22.3,9.0,"MF,DF","MF,DF","MF,DF","MF,DF","MF,DF","MF,DF",,,,804.0,,,0.0,,,0.34
Yerry Mina,,0.0,0.0,4.0,0.0,0.0,3.0,3.0,0.3,2.0,1.0,10.0,2.0,0.3,2.0,,0.0,0.0,31.0,0.24,,4.0,1.0,5.0,0.0,1.0,0.1,0.02,0.0,0.0,,,,11.0,2.0,7,,0.25,,21.0,,6.0,6.0,402.0,0.15,0.0,30.0,1.21,1.0,,2.0,0.3,,,,0.0,,0.0,1.5,0.22,1.5,16.0,27.0,,,27.0,27.0,27.0,27.0,27.0,6.6,,,6.6,6.6,6.6,6.6,6.6,,0.18,3.0,622.0,,,0.0,255.0,,2.0,0.3,2.0,2.0,,7.0,0.5,,15.0,9.0,,0.0,0.0,,0.0,,1.21,2.0,15.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,13.0,50.0,58.0,,,,co COL,co COL,co COL,co COL,co COL,co COL,1089.0,8.0,55.9,,,1.0,1.0,19.0,,1.5,0.22,1.5,6.0,176.0,0.5,9.0,198.0,0.0,,0.0,28.0,1.6,0.24,6.0,4.0,1.0,0.0,8.0,81.8,217.0,0.5,0.0,,1.0,,8.0,8.0,7,,402.0,,,,8.4,4.0,DF,DF,DF,DF,DF,DF,,,,594.0,,,0.0,,,0.61
Mason Holgate,,0.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,23.0,0.25,,6.0,2.0,8.0,2.0,2.0,0.4,0.07,0.0,0.0,,,,11.0,3.0,5,,0.0,,18.0,,7.0,7.0,286.0,0.36,0.0,27.0,1.95,3.0,,0.0,0.0,,,,0.0,,0.0,1.0,0.18,1.0,5.0,25.0,,,25.0,25.0,25.0,25.0,25.0,5.6,,,5.6,5.6,5.6,5.6,5.6,,0.25,4.0,279.0,,,0.0,141.0,,0.0,0.0,3.0,3.0,,7.0,-1.0,,11.0,3.0,,0.0,0.0,,0.0,,0.71,8.0,10.0,0.0,0.0,0.0,100.0,1.0,1.0,0.0,14.0,0.0,35.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,450.0,11.0,47.4,,,4.0,4.0,9.0,,1.0,0.18,1.0,3.0,139.0,-1.0,8.0,120.0,0.0,,0.0,28.0,1.4,0.25,9.0,3.0,1.0,0.0,4.0,27.3,100.0,,1.0,,0.0,,7.0,7.0,8,,286.0,,,,11.5,3.0,DF,DF,DF,DF,DF,DF,,,,507.0,,,0.0,,,0.0
Tom Davies,,0.0,0.0,2.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,28.0,0.22,,17.0,0.0,5.0,0.0,2.0,0.2,0.03,0.0,0.0,,,,14.0,6.0,4,,0.0,,19.0,,4.0,4.0,309.0,0.0,1.0,54.0,1.0,3.0,,0.0,0.0,,,,0.0,,1.0,1.2,0.19,1.2,15.0,24.0,,,24.0,24.0,24.0,24.0,24.0,6.0,,,6.0,6.0,6.0,6.0,6.0,,0.13,9.0,253.0,,,0.0,201.0,,0.0,0.0,3.0,3.0,,10.0,-1.2,,15.0,7.0,,50.0,3.0,,1.0,,1.51,7.0,13.0,0.0,0.0,0.0,50.0,0.0,0.0,4.0,30.0,22.2,13.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,616.0,6.0,35.0,,,2.0,2.0,7.0,,1.2,0.19,1.2,9.0,183.0,-1.2,5.0,74.0,0.0,,0.0,7.0,1.3,0.22,10.0,1.0,1.0,0.0,9.0,50.0,150.0,0.0,0.0,,0.0,,9.0,9.0,19,,309.0,,,,15.7,1.0,MF,MF,MF,MF,MF,MF,,,,538.0,,,0.0,,,0.33
Ellis Simms,,0.0,0.0,1.0,0.0,0.0,19.0,19.0,0.39,0.0,0.0,1.0,1.0,0.39,1.0,,1.0,1.0,6.0,0.37,,6.0,2.0,4.0,1.0,1.0,0.1,0.03,0.0,0.0,,,,0.0,2.0,2,,0.13,,0.0,,0.0,0.0,84.0,0.79,0.0,47.0,2.37,2.0,,1.0,0.39,,,,0.0,,1.0,0.9,0.34,0.9,11.0,21.0,,,21.0,21.0,21.0,21.0,21.0,2.5,,,2.5,2.5,2.5,2.5,2.5,,0.11,0.0,55.0,,,0.0,65.0,,1.0,0.39,0.0,0.0,,0.0,0.1,,0.0,0.0,,0.0,0.0,,0.0,,3.16,0.0,20.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,4.0,12.5,1.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,156.0,6.0,35.5,,,2.0,2.0,11.0,,0.9,0.34,0.9,0.0,36.0,0.1,0.0,2.0,0.0,,0.0,1.0,0.9,0.37,0.0,0.0,1.0,0.0,8.0,,37.0,1.0,0.0,,2.0,,0.0,0.0,11,,84.0,,,,16.1,2.0,FW,FW,FW,FW,FW,FW,,,,228.0,,,0.0,,,0.39
Salomón Rondón,,0.0,0.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.79,,1.0,0.0,4.0,0.0,0.0,0.2,0.13,0.0,0.0,,,,0.0,1.0,1,,0.0,,0.0,,0.0,0.0,36.0,0.0,0.0,19.0,3.3,1.0,,0.0,0.0,,,,0.0,,2.0,0.8,0.66,0.8,4.0,32.0,,,32.0,32.0,32.0,32.0,32.0,1.2,,,1.2,1.2,1.2,1.2,1.2,,0.2,0.0,3.0,,,0.0,32.0,,0.0,0.0,0.0,0.0,,1.0,-0.8,,0.0,0.0,,0.0,0.0,,0.0,,3.3,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,25.0,1.0,,,,ve VEN,ve VEN,ve VEN,ve VEN,ve VEN,ve VEN,33.0,4.0,53.8,,,0.0,0.0,7.0,,0.8,0.66,0.8,0.0,15.0,-0.8,0.0,2.0,0.0,,0.0,0.0,1.0,0.79,4.0,1.0,0.0,0.0,4.0,,16.0,0.0,0.0,,0.0,,0.0,0.0,7,,36.0,,,,19.3,1.0,FW,FW,FW,FW,FW,FW,,,,109.0,,,0.0,,,0.83
Asmir Begović,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,13.0,8.0,0.0,0.0,1,1.0,,4.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,100.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,0.0,47.0,4.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.5,,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,31.0,0.0,0.0,0.0,ba BIH,ba BIH,ba BIH,ba BIH,ba BIH,ba BIH,75.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19.0,,0.0,30.8,0.0,0.0,0.0,0.0,1,1.0,33.0,36.4,62.5,23.0,,0.0,GK,GK,GK,GK,GK,GK,0.12,1.0,0.0,90.0,90.0,0.0,0.0,34.9,46.8,0.0
Dele Alli,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0,,,,0.0,,0.0,0.0,20.0,0.0,0.0,11.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,2.0,26.0,,,26.0,26.0,26.0,26.0,26.0,0.4,,,0.4,0.4,0.4,0.4,0.4,,,0.0,3.0,,,0.0,14.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,100.0,1.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,30.0,0.0,33.3,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,,0.0,,0.0,,0.0,0.0,2,,20.0,,,,,0.0,MF,MF,MF,MF,MF,MF,,,,40.0,,,0.0,,,0.0
Isaac Price,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.26,,1.0,0.0,1.0,0.0,1.0,0.1,0.26,0.0,0.0,,,,1.0,1.0,0,,,,0.0,,0.0,0.0,17.0,0.0,0.0,2.0,5.45,1.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,18.0,,,18.0,18.0,18.0,18.0,18.0,0.4,,,0.4,0.4,0.4,0.4,0.4,,,0.0,12.0,,,0.0,13.0,,0.0,0.0,1.0,1.0,,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,,1.0,,,,nir NIR,nir NIR,nir NIR,nir NIR,nir NIR,nir NIR,40.0,2.0,,,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,,0.0,0.0,0.1,0.26,0.0,1.0,0.0,0.0,0.0,0.0,10.0,,0.0,,0.0,,0.0,0.0,1,,17.0,,,,,0.0,MF,MF,MF,MF,MF,MF,,,,33.0,,,0.0,,,0.0
Rúben Vinagre,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,2.0,3.0,0,,,,2.0,,0.0,0.0,31.0,0.0,0.0,9.0,0.0,1.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,23.0,,,23.0,23.0,23.0,23.0,23.0,0.3,,,0.3,0.3,0.3,0.3,0.3,,,0.0,52.0,,,0.0,17.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,1.0,,0.0,0.0,,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,33.3,0.0,0.0,1.0,0.0,,1.0,,,,pt POR,pt POR,pt POR,pt POR,pt POR,pt POR,98.0,0.0,0.0,,,2.0,2.0,0.0,,0.0,0.0,0.0,1.0,16.0,0.0,1.0,7.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15.0,,0.0,,0.0,,2.0,2.0,2,,31.0,,,,,1.0,"DF,MF","DF,MF","DF,MF","DF,MF","DF,MF","DF,MF",,,,26.0,,,0.0,,,0.0
Thomas Cannon,,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.27,,0.0,0.0,0.0,0.0,0.0,0.5,1.95,0.0,0.0,,,,0.0,1.0,0,,0.0,,0.0,,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.1,0.32,0.1,4.0,19.0,,,19.0,19.0,19.0,19.0,19.0,0.3,,,0.3,0.3,0.3,0.3,0.3,,0.09,0.0,7.0,,,0.0,7.0,,0.0,0.0,0.0,0.0,,0.0,-0.1,,0.0,0.0,,0.0,0.0,,0.0,,3.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,ie IRL,ie IRL,ie IRL,ie IRL,ie IRL,ie IRL,34.0,0.0,0.0,,,1.0,1.0,0.0,,0.1,0.32,0.1,0.0,2.0,-0.1,0.0,0.0,0.0,,0.0,0.0,0.6,2.27,0.0,0.0,0.0,0.0,1.0,,6.0,0.0,0.0,,0.0,,0.0,0.0,2,,8.0,,,,10.8,0.0,FW,FW,FW,FW,FW,FW,,,,25.0,,,0.0,,,3.6
Kyle Alex John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,DF,,,,,,,,,,,,,,,
Allan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,"DF,MF",,,,,,,,,,,,,,,
Jean-Philippe Gbamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ci CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,"DF,MF",,,,,,,,,,,,,,,
André Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pt POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,MF,,,,,,,,,,,,,,,
Eldin Jakupović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ch SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,GK,,,,,,,,,,,,,,,
Andy Lonergan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ie IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,GK,,,,,,,,,,,,,,,
Sean McAllister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nir NIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,MF,,,,,,,,,,,,,,,
Stanley Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,MF,,,,,,,,,,,,,,,
Ishé Samuels-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,DF,,,,,,,,,,,,,,,
