Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Wolves,11,32,12,7,13,46,51,-5,43,1.34,42.4,53.3,-10.9,-0.34,W L D L D,31295,Matheus Cunha - 11,José Sá,,26,27.5,48.5,32,352,2880,32.0,43,34,77,39,4,4,84,3,42.4,39.3,29.1,68.3,596,1012,1.34,1.06,2.41,1.22,2.28,1.33,0.91,2.23,1.23,2.13,2,32,32,2880,32.0,51,1.59,154,104,70.8,12,7,13,5,15.6,6,6,0,0,0.0,2,32.0,51,6,1,5,1,55.6,0.33,5.6,0.18,74,369,20.1,722,179,33.7,32.4,250,50.4,38.9,490,41,8.4,27,0.84,12.7,26,32.0,612,358,344,203,65,264,505,52.3,241,417,137,280,255,867,718,15,26,48.5,32.0,19713,2305,7125,8627,4194,652,19709,711,356,50.1,279,39.2,11211,61508,31845,596,459,144,466,314,12815,996,26,32.0,650,20.31,456,56,46,43,36,13,75,2.34,46,7,7,6,7,2,26,32.0,43,372,130,34.9,11.62,4.06,0.1,0.3,16.6,11,4,4,42.4,39.3,0.11,0.6,-0.3,26,32.0,84,3,2,398,336,66,499,255,358,4,6,1,1627,379,394,49.0
Fulham,12,33,12,6,15,49,51,-2,42,1.27,46.4,55.1,-8.6,-0.26,W D L L W,24298,Rodrigo Muniz - 8,Bernd Leno,,25,29.2,51.2,33,363,2970,33.0,48,35,83,46,2,2,73,3,46.4,44.9,34.3,79.1,588,1325,1.45,1.06,2.52,1.39,2.45,1.41,1.04,2.45,1.36,2.4,1,33,33,2970,33.0,51,1.55,162,115,72.2,12,6,15,9,27.3,6,6,0,0,0.0,1,33.0,51,6,0,2,4,46.2,0.25,-0.8,-0.02,126,379,33.2,1079,135,25.9,28.7,255,39.2,33.6,401,16,4.0,35,1.06,14.4,25,33.0,581,334,287,221,73,298,588,50.7,290,374,103,271,339,920,636,12,25,51.2,33.0,21338,2293,7249,9239,5053,756,21336,493,243,49.3,209,42.4,12421,65540,33202,588,456,126,448,289,14263,1313,25,33.0,782,23.7,579,73,36,61,19,14,84,2.55,65,5,4,7,2,1,25,33.0,48,446,156,35.0,13.52,4.73,0.1,0.29,16.9,11,2,2,46.4,44.9,0.1,1.6,1.1,25,33.0,73,3,2,333,319,48,654,339,334,2,6,4,1605,435,435,50.0
Bournemouth,13,32,11,9,12,47,57,-10,42,1.31,47.0,48.7,-1.7,-0.05,W W W L D,11095,Dominic Solanke - 17,Neto,,28,26.5,45.1,32,352,2880,32.0,46,35,81,45,1,2,65,2,47.0,45.4,34.5,79.9,592,1143,1.44,1.09,2.53,1.41,2.5,1.47,1.08,2.55,1.42,2.5,2,32,32,2880,32.0,57,1.78,165,108,68.5,11,9,12,7,21.9,6,5,1,0,16.7,2,32.0,57,5,1,6,1,54.2,0.3,-1.8,-0.06,167,495,33.7,851,154,43.0,37.1,221,58.4,44.6,414,28,6.8,29,0.91,13.6,28,32.0,600,349,269,243,88,285,583,48.9,298,410,118,292,293,893,688,13,28,45.1,32.0,17764,2095,5858,7294,4837,876,17762,748,330,44.1,350,46.8,9437,56346,29267,592,436,199,542,335,10137,1129,28,32.0,795,24.84,592,59,54,41,29,20,74,2.31,55,3,5,5,2,4,28,32.0,46,448,148,33.0,14.0,4.62,0.1,0.3,16.7,16,1,2,47.0,45.4,0.1,-1.0,-0.4,28,32.0,65,2,0,425,319,49,614,293,349,2,6,1,1723,491,584,45.7
Crystal Palace,14,32,8,9,15,37,54,-17,33,1.03,37.5,46.5,-9.0,-0.28,D D L L W,24879,"Odsonne Édouard, Jean-Philippe Mateta... - 7",Sam Johnstone,,26,27.7,41.2,32,352,2880,32.0,37,28,65,33,4,4,59,1,37.5,34.4,29.7,64.0,408,938,1.16,0.87,2.03,1.03,1.91,1.17,0.93,2.1,1.07,2.0,3,32,32,2880,32.0,54,1.69,137,84,62.8,8,9,15,7,21.9,3,3,0,0,0.0,3,32.0,54,3,0,7,1,43.6,0.3,-9.4,-0.29,159,536,29.7,703,95,52.3,41.2,224,75.0,52.3,522,27,5.2,28,0.88,11.2,26,32.0,642,369,328,227,87,276,512,53.9,236,389,112,277,274,916,830,5,26,41.2,32.0,17537,2058,6220,7422,4075,634,17533,592,279,47.1,247,41.7,8973,45534,22196,408,309,136,515,365,10324,924,26,32.0,620,19.37,421,65,35,44,38,17,68,2.12,57,2,3,0,6,0,26,32.0,37,354,122,34.5,11.06,3.81,0.09,0.27,17.1,16,4,4,37.5,34.4,0.1,-0.5,-1.4,26,32.0,59,1,1,389,365,56,498,274,369,4,3,1,1573,467,485,49.1
Brentford,15,33,8,8,17,47,58,-11,32,0.97,51.4,49.2,2.2,0.07,L D D D W,17079,"Bryan Mbeumo, Yoane Wissa - 8",Mark Flekken,,28,27.4,44.2,33,363,2970,33.0,45,30,75,42,3,3,78,2,51.4,49.2,37.2,86.4,413,1110,1.36,0.91,2.27,1.27,2.18,1.56,1.13,2.68,1.49,2.62,2,33,33,2970,33.0,58,1.76,166,108,66.3,8,8,17,6,18.2,2,2,0,0,0.0,2,33.0,58,2,0,5,0,51.1,0.3,-6.9,-0.21,229,611,37.5,1154,109,39.1,35.8,277,57.8,44.5,539,36,6.7,29,0.88,10.0,28,33.0,593,352,311,215,67,285,619,46.0,334,404,122,282,329,922,794,14,28,44.2,33.0,18248,2514,6857,7114,4424,852,18245,489,205,41.9,227,46.4,9160,47126,23973,413,287,131,479,230,10580,1103,28,33.0,697,21.12,483,85,27,52,38,12,66,2.0,44,6,2,8,6,0,28,33.0,45,411,135,32.8,12.45,4.09,0.1,0.31,15.5,16,3,3,51.4,49.2,0.12,-6.4,-7.2,28,33.0,78,2,0,333,366,65,598,329,352,3,2,0,1633,552,538,50.6
Everton,16,32,9,8,15,32,48,-16,29,0.91,47.2,47.0,0.2,0.01,L L D W L,39068,Abdoulaye Doucouré - 6,Jordan Pickford,6-point deduction 1,25,27.7,40.6,32,352,2880,32.0,32,14,46,31,1,2,70,1,47.2,45.6,33.5,79.2,424,979,1.0,0.44,1.44,0.97,1.41,1.48,1.05,2.52,1.43,2.47,1,32,32,2880,32.0,48,1.5,140,95,71.4,9,8,15,9,28.1,8,8,0,0,0.0,1,32.0,48,8,0,9,3,45.7,0.28,0.7,0.02,321,752,42.7,1091,120,57.2,41.4,223,57.4,46.3,448,19,4.2,49,1.53,17.5,25,32.0,627,370,309,220,98,297,617,48.1,320,402,138,264,312,939,705,10,25,40.6,32.0,16833,2071,5577,6906,4526,694,16831,479,213,44.5,229,47.8,8231,43871,21868,424,337,109,477,272,9424,969,25,32.0,731,22.84,510,69,27,66,32,27,45,1.41,24,4,0,11,3,3,25,32.0,32,434,131,30.2,13.56,4.09,0.07,0.24,16.6,11,1,2,47.2,45.6,0.11,-15.2,-14.6,25,32.0,70,1,1,397,294,74,664,312,370,1,8,3,1677,577,491,54.0
Nott'ham Forest,17,33,7,9,17,42,58,-16,26,0.79,42.4,47.0,-4.6,-0.14,D D W L D,29349,Chris Wood - 12,Matt Turner,4-point deduction 2,33,26.4,40.7,33,363,2970,33.0,42,36,78,41,1,1,77,3,42.4,41.6,32.4,74.0,500,973,1.27,1.09,2.36,1.24,2.33,1.28,0.98,2.27,1.26,2.24,3,33,33,2970,33.0,58,1.76,141,85,61.0,7,9,17,4,12.1,3,3,0,0,0.0,3,33.0,58,3,1,14,2,40.4,0.27,-15.6,-0.47,209,469,44.6,742,154,41.8,29.6,267,59.6,42.9,549,42,7.7,24,0.73,10.3,33,33.0,628,364,377,190,61,274,516,53.1,242,438,148,290,283,911,862,11,33,40.7,33.0,17516,2199,6459,7171,4070,666,17515,546,249,45.6,243,44.5,8841,47024,24780,500,337,132,467,242,10204,957,33,33.0,658,19.94,479,56,41,44,26,12,77,2.33,60,4,7,2,2,2,33,33.0,42,381,124,32.5,11.55,3.76,0.11,0.33,17.4,6,1,1,42.4,41.6,0.11,-0.4,-0.6,33,33.0,77,3,2,385,322,68,516,283,364,1,3,2,1551,513,488,51.2
Luton Town,18,33,6,7,20,46,70,-24,25,0.76,38.1,68.0,-29.9,-0.9,D L L W L,11111,"Carlton Morris, Elijah Adebayo - 9",Thomas Kaminski,,27,27.5,41.8,33,363,2970,33.0,43,30,73,39,4,4,60,0,38.1,35.1,26.9,62.0,590,940,1.3,0.91,2.21,1.18,2.09,1.16,0.82,1.97,1.06,1.88,1,33,33,2970,33.0,70,2.12,190,124,64.7,6,7,20,2,6.1,3,3,0,0,0.0,1,33.0,70,3,0,10,4,65.2,0.34,-0.8,-0.02,244,733,33.3,983,128,53.7,40.1,310,66.1,47.6,486,15,3.1,59,1.79,18.7,27,33.0,561,319,292,200,69,255,539,47.3,284,434,164,270,291,852,800,16,27,41.8,33.0,16988,2277,6103,6777,4319,686,16984,667,305,45.7,286,42.9,8708,52485,25926,590,413,155,496,321,9306,923,27,33.0,656,19.88,442,66,50,50,36,12,70,2.12,40,7,5,14,4,0,27,33.0,43,376,114,30.3,11.39,3.45,0.1,0.34,16.1,9,4,4,38.1,35.1,0.1,4.9,3.9,27,33.0,60,0,0,372,385,59,733,291,319,1,3,4,1664,560,551,50.4
Burnley,19,33,4,8,21,33,68,-35,20,0.61,33.5,57.4,-23.9,-0.72,W D D L D,21153,"Josh Brownhill, Jacob Bruun Larsen... - 4",James Trafford,,31,25.2,46.7,33,363,2970,33.0,32,24,56,30,2,2,66,7,33.5,31.9,25.0,56.9,605,999,0.97,0.73,1.7,0.91,1.64,1.02,0.76,1.77,0.97,1.73,2,33,33,2970,33.0,68,2.06,197,132,68.5,4,8,21,2,6.1,6,6,0,0,0.0,2,33.0,68,6,0,11,3,61.8,0.29,-3.2,-0.1,186,725,25.7,1577,191,35.3,34.6,242,69.4,49.0,490,41,8.4,62,1.88,17.9,31,33.0,528,298,241,217,70,252,523,48.2,271,412,145,267,234,762,723,18,31,46.7,33.0,19047,2495,6997,7855,4360,694,19045,618,271,43.9,280,45.3,10612,57213,29977,605,389,198,440,258,11767,984,31,33.0,628,19.03,443,69,45,37,27,7,61,1.85,46,5,7,1,2,0,31,33.0,32,355,111,31.3,10.76,3.36,0.08,0.27,17.6,11,2,2,33.5,31.9,0.09,-1.5,-1.9,31,33.0,66,7,3,376,316,70,480,234,298,2,6,3,1482,501,635,44.1
Sheffield Utd,20,32,3,7,22,30,84,-54,16,0.5,29.8,61.5,-31.7,-0.99,D D L D L,30226,Oliver McBurnie - 6,Wes Foderingham,,33,26.6,35.1,32,352,2880,32.0,26,15,41,22,4,4,93,4,29.8,26.8,19.5,46.3,272,693,0.81,0.47,1.28,0.69,1.16,0.93,0.61,1.54,0.84,1.45,2,32,32,2880,32.0,84,2.62,215,137,62.3,3,7,22,1,3.1,5,3,0,2,0.0,2,32.0,84,3,0,12,6,68.3,0.31,-9.7,-0.3,230,700,32.9,819,100,56.7,43.1,298,79.2,55.0,585,28,4.8,45,1.41,13.8,33,32.0,608,354,325,212,71,255,553,46.1,298,440,153,287,291,899,930,18,33,35.1,32.0,14836,2384,5988,5868,3126,537,14832,482,208,43.2,234,48.5,6793,34998,16130,272,238,98,411,261,7601,687,33,32.0,461,14.41,322,48,28,38,18,7,40,1.25,26,2,3,6,2,1,33,32.0,26,282,92,32.6,8.81,2.87,0.08,0.24,17.5,6,4,4,29.8,26.8,0.1,-3.8,-4.8,33,32.0,93,4,2,363,273,54,359,291,354,2,5,6,1392,518,615,45.7
