Year,Team_Name,Games_injured
2016,afc-sunderland,460
2016,afc-bournemouth,467
2016,fc-middlesbrough,294
2016,west-bromwich-albion,144
2016,fc-burnley,234
2017,manchester-city,252
2017,fc-chelsea,334
2017,fc-liverpool,361
2017,manchester-united,373
2017,tottenham-hotspur,313
2017,fc-arsenal,519
2017,fc-everton,603
2017,leicester-city,312
2017,fc-southampton,237
2017,west-ham-united,429
2017,crystal-palace,579
2017,newcastle-united,313
2017,fc-watford,516
2017,stoke-city,319
2017,fc-burnley,318
2017,west-bromwich-albion,257
2017,swansea-city,359
2017,brighton-amp-hove-albion,414
2017,afc-bournemouth,479
2017,huddersfield-town,393
2018,manchester-city,439
2018,fc-liverpool,380
2018,fc-chelsea,377
2018,tottenham-hotspur,429
2018,manchester-united,362
2018,fc-arsenal,458
2018,fc-everton,304
2018,leicester-city,328
2018,west-ham-united,405
2018,afc-bournemouth,420
2018,fc-southampton,370
2018,wolverhampton-wanderers,268
2018,crystal-palace,482
2018,fc-fulham,347
2018,newcastle-united,364
2018,fc-watford,405
2018,fc-burnley,383
2018,brighton-amp-hove-albion,371
2018,huddersfield-town,383
2018,cardiff-city,461
2019,manchester-city,322
2019,fc-liverpool,665
2019,tottenham-hotspur,395
2019,fc-chelsea,400
2019,manchester-united,625
2019,fc-arsenal,428
2019,fc-everton,385
2019,leicester-city,348
2019,wolverhampton-wanderers,495
2019,west-ham-united,410
2019,afc-bournemouth,603
2019,newcastle-united,516
2019,aston-villa,376
2019,fc-southampton,395
2019,brighton-amp-hove-albion,552
2019,fc-watford,749
2019,crystal-palace,437
2019,fc-burnley,520
2019,norwich-city,380
2019,sheffield-united,309
2020,manchester-city,339
2020,fc-liverpool,438
2020,fc-chelsea,315
2020,manchester-united,416
2020,tottenham-hotspur,405
2020,fc-arsenal,430
2020,fc-everton,431
2020,leicester-city,414
2020,wolverhampton-wanderers,300
2020,aston-villa,498
2020,west-ham-united,328
2020,brighton-amp-hove-albion,457
2020,fc-southampton,364
2020,newcastle-united,365
2020,fc-fulham,328
2020,leeds-united,352
2020,crystal-palace,405
2020,sheffield-united,492
2020,west-bromwich-albion,376
2020,fc-burnley,262
2021,manchester-city,312
2021,fc-liverpool,513
2021,fc-chelsea,380
2021,manchester-united,396
2021,tottenham-hotspur,395
2021,fc-arsenal,380
2021,leicester-city,425
2021,aston-villa,318
2021,fc-everton,456
2021,wolverhampton-wanderers,272
2021,west-ham-united,336
2021,brighton-amp-hove-albion,329
2021,newcastle-united,290
2021,leeds-united,274
2021,fc-southampton,265
2021,fc-brentford,476
2021,crystal-palace,318
2021,norwich-city,376
