Season,Squad,Games_injured
2017,Everton,603
2017,Leicester City,312
2017,Southampton,237
2017,West Ham United,429
2017,Crystal Palace,579
2017,Newcastle Utd,313
2017,Watford,516
2017,Stoke City,319
2017,Burnley,318
2017,West Bromwich Albion,257
2017,Swansea City,359
2017,Brighton & Hove Albion,414
2017,AFC Bournemouth,479
2017,Huddersfield Town,393
2018,Manchester City,439
2018,Liverpool,380
2018,Chelsea,377
2018,Tottenham,429
2018,Manchester Utd,362
2018,Arsenal,458
2018,Everton,304
2018,Leicester City,328
2018,West Ham United,405
2018,AFC Bournemouth,420
2018,Southampton,370
2018,Wolverhampton Wanderers,268
2018,Crystal Palace,482
2018,Fulham,347
2018,Newcastle Utd,364
2018,Watford,405
2018,Burnley,383
2018,Brighton & Hove Albion,371
2018,Huddersfield Town,383
2018,Cardiff City,461
2019,Manchester City,322
2019,Liverpool,665
2019,Tottenham,395
2019,Chelsea,400
2019,Manchester Utd,625
2019,Arsenal,428
2019,Everton,385
2019,Leicester City,348
2019,Wolverhampton Wanderers,495
2019,West Ham United,410
2019,AFC Bournemouth,603
2019,Newcastle Utd,516
2019,Aston Villa,376
2019,Southampton,395
2019,Brighton & Hove Albion,552
2019,Watford,749
2019,Crystal Palace,437
2019,Burnley,520
2019,Norwich City,380
2019,Sheffield Utd,309
2020,Manchester City,339
2020,Liverpool,438
2020,Chelsea,315
2020,Manchester Utd,416
2020,Tottenham,405
2020,Arsenal,430
2020,Everton,431
2020,Leicester City,414
2020,Wolverhampton Wanderers,300
2020,Aston Villa,498
2020,West Ham United,328
2020,Brighton & Hove Albion,457
2020,Southampton,364
2020,Newcastle Utd,365
2020,Fulham,328
2020,Leeds Utd,352
2020,Crystal Palace,405
2020,Sheffield Utd,492
2020,West Bromwich Albion,376
2020,Burnley,262
2021,Manchester City,312
2021,Liverpool,513
2021,Chelsea,380
2021,Manchester Utd,396
2021,Tottenham,395
2021,Arsenal,380
2021,Leicester City,425
2021,Aston Villa,318
2021,Everton,456
2021,Wolverhampton Wanderers,272
2021,West Ham United,336
2021,Brighton & Hove Albion,329
2021,Newcastle Utd,290
2021,Leeds Utd,274
2021,Southampton,265
2021,Brentford,476
2021,Crystal Palace,318
2021,Norwich City,376
2021,Watford,539
2021,Burnley,344
2022,Manchester City,232
2022,Arsenal,341
2022,Chelsea,397
2022,Manchester Utd,540
2022,Liverpool,423
2022,Tottenham,270
2022,Newcastle Utd,352
2022,Brighton & Hove Albion,347
2022,Aston Villa,384
2022,Wolverhampton Wanderers,301
2022,Leicester City,363
2022,West Ham United,342
2022,Southampton,370
2022,Everton,320
2022,Nottingham Forest,590
2022,Brentford,392
2022,Leeds Utd,415
2022,Crystal Palace,304
2022,Fulham,398
2022,AFC Bournemouth,538
2023,Manchester City,136
2023,Arsenal,261
2023,Chelsea,560
2023,Liverpool,379
2023,Tottenham,314
2023,Manchester Utd,495
2023,Aston Villa,321
2023,Newcastle Utd,414
2023,Brighton & Hove Albion,371
2023,West Ham United,185
2023,Brentford,531
2023,Crystal Palace,373
2023,Nottingham Forest,371
2023,AFC Bournemouth,372
2023,Everton,227
2023,Wolverhampton Wanderers,262
2023,Fulham,222
2023,Burnley,323
2023,Sheffield Utd,517
2023,Luton Town,373
